,p11,p13,p21,p23,m1,m2
80,0.0,0.1111111111111111,0.2222222222222222,0.6666666666666666,0.03553251479471358,0.40069792530864734
81,0.0,0.1111111111111111,0.2222222222222222,0.7777777777777777,0.03459262691047017,0.3775034841551307
82,0.0,0.1111111111111111,0.3333333333333333,0.0,0.03505246470005899,0.8192662090121904
83,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.02865631221089814,0.7040947389778773
84,0.0,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.02589356786950768,0.6315516490682476
85,0.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.024391034174968136,0.5786222583731699
86,0.0,0.1111111111111111,0.3333333333333333,0.4444444444444444,0.023460723026099216,0.5370855024974304
87,0.0,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.022833157075340203,0.5030381256087563
88,0.0,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.022382701038662207,0.474306764143527
89,0.0,0.1111111111111111,0.4444444444444444,0.0,0.024645945357310274,0.8729231974122038
90,0.0,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.019650950475858853,0.7495797086262609
91,0.0,0.1111111111111111,0.4444444444444444,0.2222222222222222,0.017994958991155618,0.6775100936000593
92,0.0,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.01721673945244428,0.6257162613443216
93,0.0,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.016780682890300876,0.5850958324381185
94,0.0,0.1111111111111111,0.4444444444444444,0.5555555555555556,0.016507568620955003,0.5516605409818571
95,0.0,0.1111111111111111,0.5555555555555556,0.0,0.018768026438366284,0.9032302978808886
96,0.0,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.014797664988523246,0.7774333878076575
97,0.0,0.1111111111111111,0.5555555555555556,0.2222222222222222,0.013774681737848937,0.7080209952031139
98,0.0,0.1111111111111111,0.5555555555555556,0.3333333333333333,0.013352732562751445,0.6584090032247217
99,0.0,0.1111111111111111,0.5555555555555556,0.4444444444444444,0.013136477692241006,0.6193810120197094
100,0.0,0.1111111111111111,0.6666666666666666,0.0,0.015064264271853409,0.922327242503729
101,0.0,0.1111111111111111,0.6666666666666666,0.1111111111111111,0.011847717580570823,0.7968599888989146
102,0.0,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.011195781647327721,0.7305593241562582
103,0.0,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.010957325334234342,0.683200172291951
104,0.0,0.1111111111111111,0.7777777777777777,0.0,0.01254084842135979,0.935338210970596
105,0.0,0.1111111111111111,0.7777777777777777,0.1111111111111111,0.009887551382528248,0.8115574786186875
106,0.0,0.1111111111111111,0.7777777777777777,0.2222222222222222,0.009460220008142485,0.7482657981039991
107,0.0,0.1111111111111111,0.8888888888888888,0.0,0.010720737880512858,0.9447228713897415
108,0.0,0.1111111111111111,0.8888888888888888,0.1111111111111111,0.008496138924257551,0.8232689079398411
109,0.0,0.1111111111111111,1.0,0.0,0.00935027910842939,0.9517890851750086
110,0.0,0.2222222222222222,0.0,0.0,0.15359401169197992,0.15359401169197992
111,0.0,0.2222222222222222,0.0,0.1111111111111111,0.1459287079705662,0.1459287079705662
112,0.0,0.2222222222222222,0.0,0.2222222222222222,0.13921745746370842,0.13921745746370842
113,0.0,0.2222222222222222,0.0,0.3333333333333333,0.13328795449224695,0.13328795449224695
114,0.0,0.2222222222222222,0.0,0.4444444444444444,0.12800719689012072,0.12800719689012072
115,0.0,0.2222222222222222,0.0,0.5555555555555556,0.12327087579400044,0.12327087579400044
116,0.0,0.2222222222222222,0.0,0.6666666666666666,0.11899602700396854,0.11899602700396854
117,0.0,0.2222222222222222,0.0,0.7777777777777777,0.11511583118201625,0.11511583118201625
118,0.0,0.2222222222222222,0.0,0.8888888888888888,0.11157586385295716,0.11157586385295716
119,0.0,0.2222222222222222,0.0,1.0,0.10833134452158488,0.10833134452158488
120,0.0,0.2222222222222222,0.1111111111111111,0.0,0.09995877099456536,0.44916015004947024
121,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0905443009229126,0.4011594208240251
122,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.08357477217975487,0.3638529506551287
123,0.0,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.07819541006211152,0.3338877948665398
124,0.0,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.07390836420567597,0.3092108860191671
125,0.0,0.2222222222222222,0.1111111111111111,0.5555555555555556,0.07040396362289586,0.2884858926568057
126,0.0,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.06747949233772828,0.27080112054875505
127,0.0,0.2222222222222222,0.1111111111111111,0.7777777777777777,0.06499670541336296,0.25551089214000267
128,0.0,0.2222222222222222,0.1111111111111111,0.8888888888888888,0.0628581053960353,0.24214378738300496
129,0.0,0.2222222222222222,0.2222222222222222,0.0,0.05527728874605191,0.6953850759109191
130,0.0,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.04760654419422438,0.605294180659484
131,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.043155428212305696,0.5420191681601542
132,0.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.04025737611969752,0.49396176936434344
133,0.0,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.038222267531363166,0.45566522795790326
134,0.0,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.0367136068415801,0.4241346696532416
135,0.0,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.03554834852269386,0.3975522462857073
136,0.0,0.2222222222222222,0.2222222222222222,0.7777777777777777,0.03461872363886525,0.37473326422721326
137,0.0,0.2222222222222222,0.3333333333333333,0.0,0.03453588420727838,0.8096841219098183
138,0.0,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.028538487324014247,0.6989478459865726
139,0.0,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.02587558896493385,0.6280216418248915
140,0.0,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.02440647642321173,0.5759079262475046
141,0.0,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.02348856906056028,0.5348595332984488
142,0.0,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.0228654202680589,0.5011373224885313
143,0.0,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.022416019728100332,0.4726386703726374
144,0.0,0.2222222222222222,0.4444444444444444,0.0,0.024335310315637314,0.8658961234778082
145,0.0,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.01961650523707846,0.7464094590612801
146,0.0,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.01800413860542623,0.6754012019213647
147,0.0,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.017235997297437057,0.6240886776073454
148,0.0,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.016801982098645484,0.5837429773091936
149,0.0,0.2222222222222222,0.4444444444444444,0.5555555555555556,0.016528565316439592,0.550486791076514
150,0.0,0.2222222222222222,0.5555555555555556,0.0,0.018559850964089093,0.8977227769165063
151,0.0,0.2222222222222222,0.5555555555555556,0.1111111111111111,0.014789939591191277,0.7752887039973423
152,0.0,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.01378678495654484,0.7066016928027837
153,0.0,0.2222222222222222,0.5555555555555556,0.3333333333333333,0.013367513566777086,0.6572978607659807
154,0.0,0.2222222222222222,0.5555555555555556,0.4444444444444444,0.013150879474696757,0.6184425244066124
155,0.0,0.2222222222222222,0.6666666666666666,0.0,0.014914831381594844,0.91780927878033
156,0.0,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.011849465780872998,0.7953003585629841
157,0.0,0.2222222222222222,0.6666666666666666,0.2222222222222222,0.011206644912839858,0.7295184375820546
158,0.0,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.010968399317418318,0.682372145525005
159,0.0,0.2222222222222222,0.7777777777777777,0.0,0.012428284904128612,0.9315118170860179
